id;currency;description;display_symbol;figi;isin;mic;share_class_figi;symbol;symbol_2;type
1;which modernise because;aside apropos;anenst besides;whenever vacant;athwart;save gripper;redraft dramatise black-and-white;brilliant truly which;affiliate meh yahoo;lest
2;well-worn hierarchy;through ack needy;pfft notarise uh-huh;now;and along even;plus consequently vibrate;whereas um punctually;lie;coaxingly;comptroller
3;step-sister besides;bitterly consequently eek;how who;great worst eventually;hm geez;funny even;inasmuch publish progress;gah;ha yowza;developmental ha
4;logo;affiliate booking;idle beneath;barracks following;despite overjoyed amongst;furthermore fat responsible;yum without;courageously;scale;ectoderm
5;ferociously sedately;inasmuch foil;stable coffin;welcome;worst ew behind;woot;pish good;enliven towards loyal;hospitable;siege
6;camp phew hm;vintner ack;armoire;once restfully bitterly;woot obediently whose;heavy amazement reapply;unlike network long-term;zowie;nominate woot;happy
7;underneath where;namecheck;beside;painting for;recognition;boohoo;excepting lumber yahoo;laptop boldly woefully;following putt;save prepare stun
8;whoa;hm oof embroider;for harmful;psst;because;highlight helplessly opposite;algorithm duration;waft;ha;vapid
9;beside concerning aboard;decent;um bah mutiny;blunt including;ew although;meh octave although;foolhardy unfortunately;sleepily spry;atop;knitting mood behind
10;sane vanadyl;positively violently;erupt which abandoned;but;webbed;brr swiftly nicely;carpet enclose;safely since provided;pitiful because abaft;jaggedly
