id;date;adj_close;close;high;low;open;volume;ticker_id
1;jewelry;10413.56;4969.22;663.35;1938.85;27904.04;16754;1
2;ecstatic;2668.44;10133.6;8520.08;9717.8;31969.35;6924;2
3;ogle;28706.32;12124.87;10662.96;16285.4;25836.84;7638;3
4;how when as;13275.6;23530.25;23522.78;25600.3;7842.14;23949;4
5;apropos;8367.14;30529.09;4384.68;28766.42;28501.62;14695;5
6;chuck hm as;15531.01;26272.64;12189.28;8718.88;32418.24;14208;6
7;till;30378.67;30232.58;4951.39;1682.29;27496.2;18180;7
8;rubbery woot dancing;13677.91;32547.07;10994.15;1963.46;757.95;1394;8
9;gerbil infant;3823.72;3213.86;29723.16;23904.8;21275.37;27486;9
10;loftily;15533.66;7256.29;4381.24;21211.16;1849.34;21691;10
